DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
24-Jul-2025,EQ,"4,310.00","4,320.00","4,255.10","4,363.70","4,301.00","4,301.90","4,290.48","6,246.25","3,344.00",584473,"2,50,76,66,988.00",68410
23-Jul-2025,EQ,"4,360.00","4,377.00","4,325.90","4,342.40","4,369.10","4,363.70","4,356.48","6,246.25","3,344.00",376802,"1,64,15,31,558.40",39820
22-Jul-2025,EQ,"4,418.00","4,431.70","4,318.80","4,408.20","4,344.00","4,342.40","4,363.26","6,246.25","3,344.00",463290,"2,02,14,56,136.30",58167
21-Jul-2025,EQ,"4,410.00","4,422.00","4,346.20","4,396.70","4,411.00","4,408.20","4,397.16","6,246.25","3,344.00",269975,"1,18,71,24,451.40",42108
18-Jul-2025,EQ,"4,450.00","4,484.00","4,387.20","4,443.60","4,401.00","4,396.70","4,419.12","6,246.25","3,344.00",370997,"1,63,94,79,882.00",51655
17-Jul-2025,EQ,"4,437.00","4,463.90","4,412.00","4,424.50","4,445.00","4,443.60","4,444.20","6,246.25","3,344.00",414759,"1,84,32,71,823.90",56944
16-Jul-2025,EQ,"4,454.00","4,470.00","4,371.00","4,454.00","4,420.10","4,424.50","4,412.79","6,246.25","3,344.00",791606,"3,49,31,91,311.80",73062
15-Jul-2025,EQ,"4,275.80","4,465.00","4,260.10","4,251.70","4,462.10","4,454.00","4,409.15","6,246.25","3,344.00",1756329,"7,74,39,15,409.80",145796
14-Jul-2025,EQ,"4,219.00","4,259.00","4,197.20","4,218.70","4,244.80","4,251.70","4,230.30","6,246.25","3,344.00",293675,"1,24,23,34,653.00",38005
11-Jul-2025,EQ,"4,300.10","4,340.00","4,190.00","4,321.30","4,203.00","4,218.70","4,257.72","6,246.25","3,344.00",556464,"2,36,92,66,321.00",60498
10-Jul-2025,EQ,"4,330.10","4,348.90","4,310.00","4,333.10","4,315.80","4,321.30","4,327.16","6,246.25","3,344.00",368728,"1,59,55,45,645.40",31324
09-Jul-2025,EQ,"4,300.00","4,344.00","4,290.20","4,300.40","4,328.00","4,333.10","4,327.13","6,246.25","3,344.00",276485,"1,19,63,86,431.70",33553
08-Jul-2025,EQ,"4,305.10","4,329.00","4,240.00","4,307.00","4,297.00","4,300.40","4,285.67","6,246.25","3,344.00",467771,"2,00,47,09,874.60",42359
07-Jul-2025,EQ,"4,340.00","4,359.60","4,293.00","4,345.00","4,305.10","4,307.00","4,319.51","6,246.25","3,344.00",353771,"1,52,81,16,344.30",47151
04-Jul-2025,EQ,"4,325.00","4,374.70","4,307.10","4,310.60","4,337.80","4,345.00","4,346.45","6,246.25","3,344.00",437195,"1,90,02,44,161.50",44406
03-Jul-2025,EQ,"4,244.00","4,350.00","4,238.00","4,243.70","4,318.00","4,310.60","4,308.22","6,246.25","3,344.00",650625,"2,80,30,36,638.30",50000
02-Jul-2025,EQ,"4,284.40","4,324.60","4,230.10","4,226.00","4,238.00","4,243.70","4,255.17","6,246.25","3,344.00",808159,"3,43,88,53,198.70",60384
01-Jul-2025,EQ,"4,258.30","4,264.00","4,190.10","4,237.10","4,229.00","4,226.00","4,218.60","6,246.25","3,344.00",480538,"2,02,71,98,588.30",51255
30-Jun-2025,EQ,"4,344.00","4,344.00","4,211.00","4,320.30","4,235.60","4,237.10","4,246.25","6,246.25","3,344.00",871009,"3,69,85,20,567.10",68451
27-Jun-2025,EQ,"4,299.00","4,349.90","4,285.00","4,278.00","4,320.00","4,320.30","4,325.17","6,246.25","3,344.00",543489,"2,35,06,84,844.70",44804
26-Jun-2025,EQ,"4,305.90","4,324.90","4,248.10","4,300.80","4,281.50","4,278.00","4,271.98","6,246.25","3,344.00",795726,"3,39,93,24,163.60",60872
25-Jun-2025,EQ,"4,301.50","4,357.90","4,290.00","4,292.50","4,297.90","4,300.80","4,316.61","6,246.25","3,344.00",412213,"1,77,93,62,062.80",48686
24-Jun-2025,EQ,"4,283.10","4,330.00","4,262.00","4,253.10","4,290.00","4,292.50","4,298.71","6,246.25","3,344.00",469217,"2,01,70,27,296.10",36045
23-Jun-2025,EQ,"4,320.00","4,324.70","4,245.00","4,338.50","4,247.20","4,253.10","4,268.53","6,246.25","3,344.00",580717,"2,47,88,05,792.10",46249
20-Jun-2025,EQ,"4,380.50","4,382.40","4,204.90","4,384.30","4,331.10","4,338.50","4,309.88","6,246.25","3,344.00",1159015,"4,99,52,18,992.90",77616
